City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Muroto,JP,2023-01-03 15:09:55,33.2833,134.15,47.77,53,1,12.21
282,Lagoa,PT,2023-01-03 15:09:56,39.05,-27.9833,59.95,83,81,24.29
283,Atbasar,KZ,2023-01-03 15:09:56,51.8,68.3333,20.66,91,100,20.15
284,Matara,LK,2023-01-03 15:09:57,5.9485,80.5353,75.16,83,40,2.75
285,Takoradi,GH,2023-01-03 15:09:57,4.8845,-1.7554,84.0,63,92,9.6
286,Khash,IR,2023-01-03 15:09:57,28.2211,61.2158,44.78,24,18,7.87
287,Bontang,ID,2023-01-03 15:09:58,0.1333,117.5,79.38,81,98,0.16
288,Vila Franca Do Campo,PT,2023-01-03 15:09:58,37.7167,-25.4333,61.21,74,76,11.56
289,Winnemucca,US,2023-01-03 15:09:59,40.973,-117.7357,28.45,86,100,8.05
290,Ilulissat,GL,2023-01-03 15:09:59,69.2167,-51.1,-3.98,41,0,16.11
291,College,US,2023-01-03 15:09:59,64.8569,-147.8028,-0.08,82,40,0.0
292,Makakilo City,US,2023-01-03 15:10:00,21.3469,-158.0858,69.98,90,75,3.44
